id,title,start,avg_rating,rating_count,low,med,high,want,have,last_sold,for_sale,url
123722,b'Inside All The People',1.2, ,27,1.19,4.0,9.0,64,175,"Jul 14, 2021",18,https://www.discogs.com/release/123722
13861184,b'RTRN II JUNGLE',50.72, ,71,16.81,26.42,36.03,358,773,"Dec 13, 2021",1,https://www.discogs.com/release/13861184
13399060,b'No Geography',5.99, ,100,3.9,6.6,9.39,134,785,"Nov 24, 2021",38,https://www.discogs.com/release/13399060
1854136,"b""That's All""",0.01, ,39,0.59,1.77,3.59,57,726,"Jan 6, 2022",208,https://www.discogs.com/release/1854136
9442778,b'Blue Lines',14.89, ,1090,8.0,21.91,29.71,1861,12802,"Jan 14, 2022",160,https://www.discogs.com/release/9442778
123230,b'Tantzstanze / Spurrillen',1.0, ,80,1.9,4.5,6.0,85,516,"Dec 29, 2021",41,https://www.discogs.com/release/123230
509218,b'The Tide / Concussion',4.8, ,277,4.38,7.0,16.66,584,1607,"Nov 16, 2021",12,https://www.discogs.com/release/509218
1603540,b'Stigma / Crank',4.8, ,201,4.5,10.52,20.4,474,1130,"Jan 14, 2022",9,https://www.discogs.com/release/1603540
3005486,b'Program / Regurgitate',4.74, ,90,5.2,10.2,18.02,235,504,"Oct 10, 2021",8,https://www.discogs.com/release/3005486
9056717,b'Outer Edges',51.64, ,64,52.6,60.0,80.0,316,310,"Jan 5, 2022",4,https://www.discogs.com/release/9056717
112902,b'Darkdancer',16.66, ,39,10.0,17.95,35.0,198,288,"Jan 14, 2022",5,https://www.discogs.com/release/112902
3821,b'Chase',1.0, ,31,1.0,1.65,6.44,28,314,"Nov 5, 2021",41,https://www.discogs.com/release/3821
3795,b'Dive EP',1.0, ,69,2.0,4.5,13.14,221,653,"Dec 21, 2021",28,https://www.discogs.com/release/3795
1190199,b'The Extended Play EP',1.14, ,17,1.2,3.05,5.0,39,221,"Dec 7, 2021",30,https://www.discogs.com/release/1190199
2268741,b'Down By Law',0.88, ,5,1.2,2.19,3.0,13,71,"Aug 7, 2021",23,https://www.discogs.com/release/2268741
12513366,b'Collapse EP',10.81, ,404,9.9,14.47,20.15,740,3656,"Jan 11, 2022",120,https://www.discogs.com/release/12513366
3662,b'Come To Daddy',15.0, ,1009,10.0,16.99,29.99,2125,5831,"Dec 15, 2021",38,https://www.discogs.com/release/3662
5310465,b'Watermark',6.0, ,59,2.75,10.0,20.0,141,640,"Nov 18, 2021",45,https://www.discogs.com/release/5310465
565580,b'Yeah',5.5, ,3,3.51,4.0,4.49,14,14,"Nov 7, 2018",2,https://www.discogs.com/release/565580
73369,b'Hold Tight',0.88, ,22,1.8,4.0,6.97,153,207,"Jan 11, 2022",8,https://www.discogs.com/release/73369
5229,b'Opium Scumbagz EP',0.88, ,75,1.0,2.95,5.3,75,366,"Nov 1, 2021",26,https://www.discogs.com/release/5229
1553943,b'The Fat Of The Land',26.29, ,388,19.28,28.03,48.03,1249,2742,"Jan 13, 2022",9,https://www.discogs.com/release/1553943
13443,"b""Where's Your Head At""",4.0, ,159,0.88,4.8,8.4,353,1354,"Dec 30, 2021",14,https://www.discogs.com/release/13443
1074649,b'One Love',12.01, ,36,7.0,15.3,18.02,211,247,"Nov 23, 2021",5,https://www.discogs.com/release/1074649
1629903,b'No Good (Start The Dance)',7.71, ,38,6.0,13.1,23.35,369,280,"Jul 30, 2021",13,https://www.discogs.com/release/1629903
159576,b'Kick Up The Volume',0.49, ,51,0.88,2.85,6.0,82,505,"Nov 14, 2021",92,https://www.discogs.com/release/159576
20688,b'Smack My Bitch Up',9.61, ,476,6.01,15.61,39.5,1385,3039,"Dec 20, 2021",36,https://www.discogs.com/release/20688
3137842,b'Charly',6.0, ,54,7.21,14.0,28.5,388,541,"Sep 13, 2021",28,https://www.discogs.com/release/3137842
48510,"b""Baby's Got A Temper""",3.0, ,64,3.0,5.0,12.95,121,414,"Jan 11, 2022",53,https://www.discogs.com/release/48510
1074659,b'Poison',7.5, ,32,9.0,12.0,20.28,242,303,"Nov 8, 2021",24,https://www.discogs.com/release/1074659
11524,b'Out Of Space',6.0, ,809,11.99,17.45,48.03,2009,3936,"Jan 14, 2022",41,https://www.discogs.com/release/11524
123964,b'The Bomb (Remixes)',1.0, ,20,1.25,2.0,11.48,45,181,"Dec 8, 2021",44,https://www.discogs.com/release/123964
9149,b'10 x 10',1.19, ,14,0.59,2.0,6.01,38,131,"Jun 15, 2021",25,https://www.discogs.com/release/9149
74835,b'La Serenissima',1.0, ,87,1.0,2.89,6.95,176,493,"Jan 10, 2022",50,https://www.discogs.com/release/74835
